"Pool","Freezer_RT","Specimen","amount_DNA","Total_mg_in_pool","Experiment","number_Reads","total_Reads"
"FT13","F","Orthoptera2",2.386,17.188,"HFT13",0,0
"RT1","R","Orthoptera2",1.348,13.364,"HRT1",3097,15769
"RT2","R","Orthoptera2",0.862,18.39,"HRT2",1751,15630
"RT3","R","Orthoptera2",0.538,17.242,"HRT3",1797,14301
"RT4","R","Orthoptera2",2.359,14.079,"HRT4",1760,6662
"RT5","R","Orthoptera2",1.024,17.5,"HRT5",2455,13931
"RT6","R","Orthoptera2",2.734,14.653,"HRT6",4827,16786
"RT7","R","Orthoptera2",0.224,18.503,"HRT7",758,14534
"RT8","R","Orthoptera2",0.603,16.23,"HRT8",2976,19174
"RT9","R","Orthoptera2",0.961,9.801,"HRT9",3061,14845
"RT10","R","Orthoptera2",0.875,13.587,"HRT10",3248,14762
"RT11","R","Orthoptera2",2.092,13.343,"HRT11",4493,15301
"RT12","R","Orthoptera2",2.604,13.78,"HRT12",6238,15301
"RT13","R","Orthoptera2",1.043,13.7,"HRT13",3609,15921
"RT14","R","Orthoptera2",1.331,11.191,"HRT14",4266,19388
"RT15","R","Orthoptera2",1.612,11.521,"HRT15",4429,14482
"FT11","F","Psocoptera",0.373,15.679,"HFT11",961,9902
"FT12","F","Psocoptera",0.278,14.99,"HFT12",1167,8536
"FT13","F","Psocoptera",0.45,17.188,"HFT13",0,0
"FT14","F","Psocoptera",0.574,12.723,"HFT14",2898,7833
"RT1","R","Psocoptera",0.209,13.364,"HRT1",1344,15769
"RT2","R","Psocoptera",0.138,18.39,"HRT2",863,15630
"RT3","R","Psocoptera",0.628,17.242,"HRT3",1448,14301
"RT4","R","Psocoptera",0.473,14.079,"HRT4",722,6662
"RT5","R","Psocoptera",0.909,17.5,"HRT5",2743,13931
"RT6","R","Psocoptera",0.648,14.653,"HRT6",1818,16786
"FT9","F","Salina",0.388,17.63,"HFT9",432,13333
"FT10","F","Salina",0.725,15.933,"HFT10",391,12148
"FT13","F","Salina",0.946,17.188,"HFT13",0,0
"FT14","F","Salina",0.508,12.723,"HFT14",299,7833
"FT15","F","Salina",0.298,5.247,"HFT15",941,8153
"RT1","R","Salina",0.542,13.364,"HRT1",441,15769
"RT2","R","Salina",0.378,18.39,"HRT2",131,15630
"RT3","R","Salina",0.892,17.242,"HRT3",431,14301
"RT4","R","Salina",0.668,14.079,"HRT4",156,6662
"RT5","R","Salina",0.268,17.5,"HRT5",198,13931
"RT6","R","Salina",0.562,14.653,"HRT6",246,16786
"RT7","R","Salina",0.436,18.503,"HRT7",204,14534
"RT8","R","Salina",0.432,16.23,"HRT8",400,19174
"RT9","R","Salina",0.211,9.801,"HRT9",224,14845
"RT10","R","Salina",0.248,13.587,"HRT10",202,14762
"FT9","F","Homidia",0.574,17.63,"HFT9",103,13333
"FT10","F","Homidia",0.33,15.933,"HFT10",83,12148
"FT11","F","Homidia",0.232,15.679,"HFT11",26,9902
"FT12","F","Homidia",0.351,14.99,"HFT12",36,8536
"RT11","R","Homidia",0.389,13.343,"HRT11",131,15301
"RT12","R","Homidia",0.217,13.78,"HRT12",19,15301
"RT13","R","Homidia",0.321,13.7,"HRT13",157,15921
"RT14","R","Homidia",0.079,11.191,"HRT14",23,19388
"RT15","R","Homidia",0.233,11.521,"HRT15",49,14482
"FT1","F","Tomocerus",1.832,16.943,"HFT1",2347,13671
"FT2","F","Tomocerus",1.496,15.625,"HFT2",1862,11178
"FT3","F","Tomocerus",1.602,17.986,"HFT3",1627,13396
"FT4","F","Tomocerus",0.546,16.373,"HFT4",897,14369
"FT5","F","Tomocerus",2.039,24.124,"HFT5",1473,10349
"FT6","F","Tomocerus",0.229,15.478,"HFT6",219,13782
"FT7","F","Tomocerus",0.392,14.958,"HFT7",721,15438
"FT8","F","Tomocerus",0.255,13.781,"HFT8",623,12144
"RT1","R","Tomocerus",0.253,13.364,"HRT1",767,15769
"RT2","R","Tomocerus",2.896,18.39,"HRT2",2952,15630
"RT3","R","Tomocerus",0.801,17.242,"HRT3",1325,14301
"RT4","R","Tomocerus",2.278,14.079,"HRT4",1357,6662
"RT5","R","Tomocerus",0.217,17.5,"HRT5",718,13931
"RT6","R","Tomocerus",1.626,14.653,"HRT6",2362,16786
"RT7","R","Tomocerus",1.068,18.503,"HRT7",1626,14534
"RT8","R","Tomocerus",0.989,16.23,"HRT8",1849,19174
"RT9","R","Tomocerus",0.744,9.801,"HRT9",2095,14845
"RT10","R","Tomocerus",0.697,13.587,"HRT10",1661,14762
"RT11","R","Tomocerus",0.305,13.343,"HRT11",839,15301
"FT1","F","Salticidae_Leg",0.833,16.943,"HFT1",10,13671
"FT4","F","Salticidae_Leg",1.253,16.373,"HFT4",143,14369
"FT5","F","Salticidae_Leg",0.52,24.124,"HFT5",19,10349
"FT6","F","Salticidae_Leg",0.638,15.478,"HFT6",18,13782
"FT7","F","Salticidae_Leg",1.267,14.958,"HFT7",75,15438
"FT9","F","Salticidae_Leg",1.664,17.63,"HFT9",7,13333
"FT10","F","Salticidae_Leg",2.405,15.933,"HFT10",268,12148
"FT11","F","Salticidae_Leg",0.4,15.679,"HFT11",25,9902
"FT13","F","Salticidae_Leg",0.724,17.188,"HFT13",0,0
"RT4","R","Salticidae_Leg",1.3,14.079,"HRT4",4,6662
